time,wheel,pressure_kPa,temperature_C,pressure_Psi
0,0,228,37,33.06860427
1,0,228,37,33.06860427
2,0,228,37,33.06860427
3,0,228,40,33.06860427
4,0,228,40,33.06860427
5,0,234,40,33.93883069
6,0,234,40,33.93883069
7,0,234,41,33.93883069
8,0,234,41,33.93883069
9,0,234,41,33.93883069
10,0,234,41,33.93883069
11,0,234,44,33.93883069
12,0,234,44,33.93883069
13,0,231,43,33.50371748
14,0,231,43,33.50371748
15,0,231,42,33.50371748
16,0,231,42,33.50371748
17,0,234,43,33.93883069
18,0,234,43,33.93883069
19,0,234,39,33.93883069
20,0,234,39,33.93883069
21,0,241,41,34.95409486
22,0,241,41,34.95409486
23,0,241,43,34.95409486
24,0,241,43,34.95409486
25,0,241,41,34.95409486
26,0,241,41,34.95409486
27,0,241,40,34.95409486
28,0,234,38,33.93883069
29,0,228,39,33.06860427
30,0,228,39,33.06860427
31,0,228,39,33.06860427
32,0,228,39,33.06860427
33,0,228,39,33.06860427
34,0,228,40,33.06860427
35,0,228,42,33.06860427
36,0,187,28,27.12205701
37,0,187,28,27.12205701
38,0,187,29,27.12205701
39,0,187,29,27.12205701
40,0,191,28,27.70220796
41,0,191,28,27.70220796
42,0,191,29,27.70220796
43,0,191,29,27.70220796
44,0,191,30,27.70220796
45,0,191,30,27.70220796
46,0,191,31,27.70220796
47,0,191,31,27.70220796
48,0,194,30,28.13732117
49,0,194,30,28.13732117
50,0,194,30,28.13732117
51,0,194,30,28.13732117
52,0,200,30,29.0075476
53,0,200,30,29.0075476
54,0,200,30,29.0075476
55,0,200,30,29.0075476
56,0,200,31,29.0075476
57,0,200,31,29.0075476
58,0,194,30,28.13732117
59,0,194,30,28.13732117
60,0,197,32,28.57243439
61,0,197,32,28.57243439
62,0,197,32,28.57243439
63,0,197,32,28.57243439
64,0,197,31,28.57243439
65,0,197,31,28.57243439
66,0,197,32,28.57243439
67,0,197,32,28.57243439
68,0,200,32,29.0075476
69,0,200,32,29.0075476
70,0,197,32,28.57243439
71,0,197,32,28.57243439
72,0,200,31,29.0075476
73,0,200,31,29.0075476
74,0,197,31,28.57243439
75,0,197,31,28.57243439
76,0,197,30,28.57243439
77,0,197,30,28.57243439
78,0,197,35,28.57243439
79,0,197,37,28.57243439
80,0,197,37,28.57243439
81,0,200,37,29.0075476
82,0,200,37,29.0075476
83,0,200,37,29.0075476
84,0,200,37,29.0075476
85,0,203,34,29.44266082
86,0,203,34,29.44266082
87,0,203,35,29.44266082
88,0,203,35,29.44266082
89,0,203,35,29.44266082
90,0,206,33,29.87777403
91,0,206,33,29.87777403
92,0,206,33,29.87777403
93,0,203,33,29.44266082
94,0,203,33,29.44266082
95,0,203,35,29.44266082
96,0,203,35,29.44266082
97,0,191,31,27.70220796
98,0,191,31,27.70220796
99,0,203,36,29.44266082
100,0,203,36,29.44266082
101,0,194,33,28.13732117
102,0,203,36,29.44266082
103,0,203,36,29.44266082
104,0,197,37,28.57243439
105,0,197,37,28.57243439
106,0,203,37,29.44266082
107,0,197,39,28.57243439
108,0,197,39,28.57243439
109,0,203,39,29.44266082
110,0,203,39,29.44266082
111,0,203,38,29.44266082
112,0,203,38,29.44266082
113,0,203,36,29.44266082
114,0,203,36,29.44266082
115,0,203,38,29.44266082
116,0,203,38,29.44266082
117,0,203,37,29.44266082
118,0,203,39,29.44266082
119,0,203,39,29.44266082
120,0,203,35,29.44266082
121,0,203,35,29.44266082
122,0,203,38,29.44266082
123,0,203,38,29.44266082
124,0,203,35,29.44266082
125,0,203,35,29.44266082
126,0,206,40,29.87777403
127,0,206,40,29.87777403
128,0,203,35,29.44266082
129,0,206,39,29.87777403
130,0,203,34,29.44266082
131,0,203,34,29.44266082
132,0,206,37,29.87777403
133,0,206,37,29.87777403
134,0,203,36,29.44266082
135,0,203,36,29.44266082
136,0,203,35,29.44266082
137,0,203,35,29.44266082
138,0,200,37,29.0075476
139,0,200,37,29.0075476
140,0,200,38,29.0075476
141,0,200,38,29.0075476
142,0,200,38,29.0075476
143,0,200,38,29.0075476
144,0,200,40,29.0075476
145,0,200,38,29.0075476
146,0,203,38,29.44266082
147,0,203,38,29.44266082
148,0,203,33,29.44266082
149,0,203,33,29.44266082
150,0,200,32,29.0075476
151,0,200,32,29.0075476
152,0,200,32,29.0075476
153,0,200,32,29.0075476
154,0,200,32,29.0075476
155,0,203,32,29.44266082
156,0,200,33,29.0075476
157,0,200,33,29.0075476
158,0,200,35,29.0075476
159,0,200,35,29.0075476
160,0,200,32,29.0075476
161,0,200,32,29.0075476
162,0,200,31,29.0075476
163,0,200,31,29.0075476
164,0,197,32,28.57243439
165,0,197,32,28.57243439
166,0,181,26,26.25183058
167,0,181,26,26.25183058
168,0,197,31,28.57243439
169,0,197,31,28.57243439
170,0,181,26,26.25183058
171,0,181,26,26.25183058
